	MF.103-11B+.LU	MF.103-11B+.SALM3.SI	MF.103-11B+.SI	MF.11CLOSER.SALM3.SI	MF.11CLOSER.SI	MF.169+11CHI.SLN	MF.BM	MF.II+480LO.PC	MF.II-480HI.PC	MF.LU	MF.MEDL.SLN	MF.MICROGLIA.CNS	MF.RP.SP	MF.SBCAPS.SLN	MF.THIO5.II+480INT.PC	MF.THIO5.II+480LO.PC	MF.THIO5.II-480HI.PC	MF.THIO5.II-480INT.PC
Trps1	10.04429903	9.17220715	9.25284564	9.481740108	9.664026379	8.511267787	6.601237926	9.763737164	9.356363198	9.043533164	9.083921775	5.375513299	9.370135067	7.660010872	9.195168267	9.924308016	8.935644002	8.91631043
Trpv6	6.03624286	5.500035577	5.581990754	5.605845424	5.49254286	6.104767517	5.719460013	5.488754924	5.578748555	5.752332918	5.72694835	5.921544237	5.765039619	5.366072125	5.608216867	5.620320523	5.659108246	5.613319476
Try10	5.274379085	5.049244124	4.804239461	5.3234061	4.725178363	5.015687118	4.785501729	5.025761181	4.997366181	4.635104278	5.579958501	5.14936777	5.028715006	5.952536256	4.687424676	4.963871735	4.992094653	5.097740004
Tsc22d1	8.432645662	9.195325019	9.823772625	8.864529208	9.214571449	8.023581663	9.092758374	7.942391734	7.246541735	8.762336301	7.130530409	7.153940076	7.775169971	7.181133369	8.02355348	8.470856507	8.075651353	8.278719851
Tsga10	4.941329367	5.072102584	5.491235124	5.083094203	5.449899394	5.009152309	4.634490657	6.090050299	6.180880509	4.894625391	5.243977479	5.294325441	5.552438555	4.968998489	6.085109471	5.878140855	6.240741731	5.935959418
Tsga13	3.409261936	3.183204617	3.181609189	3.217854973	3.172151445	3.668136148	3.056109488	3.01144793	3.255213676	3.105214312	4.111786693	3.465870012	3.326465442	3.999774561	3.25664839	3.198536061	3.210648618	3.234889584
Tspan15	5.572501665	6.690053862	5.970230161	6.220126288	5.849635538	5.813052607	6.111545376	5.505736407	5.4496274	5.774148356	5.781523647	5.819852936	9.70993493	6.452608612	5.538572306	5.65895121	5.441193513	5.446677506
Tspan2	6.525915392	6.265742082	5.925782117	6.545484636	5.669745099	6.628310651	6.546366661	5.278450697	5.153397325	5.495357258	5.760427221	5.674239357	5.272687632	6.004112576	5.470226645	5.603743041	5.266306812	5.184026332
Tspan3	9.024494082	9.267769335	8.77924926	9.431266504	8.837314763	9.275057114	9.224447763	9.52411423	8.546761242	6.350594484	8.237171233	9.805350825	9.587784078	8.935122608	9.488369394	9.239243997	9.658046492	9.42266198
Tspan32	7.025283548	6.981073171	7.837476921	7.022101722	8.163052551	5.787807247	9.622782136	8.77352816	9.050824987	7.599286795	6.8128935	6.898815395	5.954003938	7.292668114	7.794765883	8.104984643	8.139899024	7.347471075
Tspan33	6.926369536	7.857039983	8.149092533	8.016124238	7.368191435	7.735016414	9.070811931	5.933796075	5.371469417	5.39601788	6.256037867	7.672614153	6.05286145	6.693046415	5.380956814	6.885283535	5.235304553	5.43976053
Tspan4	6.934882672	6.743017051	6.261890746	6.801683788	6.872154031	6.317777086	9.381645904	6.976451472	9.103641881	6.542954462	7.025997724	9.109876959	9.810008799	6.939534552	8.588596842	6.975275552	9.402633364	9.458433546
Tspan6	4.340309455	4.27224346	4.089088897	4.239636714	4.055188712	4.669987675	6.649247554	4.258536512	4.075004858	4.12735814	4.844963057	4.22768204	4.414146811	5.054601062	4.367948774	4.18491236	4.428256312	4.066789553
Tspan7	5.437836946	6.293745218	4.691684903	5.904936224	4.972615463	5.132716664	4.444503637	4.285525521	4.660084342	5.445232303	7.17073679	10.26185669	4.805920101	7.357210644	4.498325341	4.422499893	4.97471285	5.516822023
Tspan8	4.94053795	7.574382358	8.010025068	6.708412812	7.346887589	4.510458787	7.417709363	4.373031007	4.387279815	4.51935319	4.439480191	4.464162887	4.536546151	4.55708838	4.581025791	4.268157386	4.482893447	4.300943704
Tspan9	6.979599537	6.694622894	6.237471395	6.785651571	6.352078394	7.244580283	6.785507831	6.805451973	7.024666524	6.487911296	6.842931705	7.812531597	7.902815243	7.223247319	6.419112986	6.910019451	6.915320512	6.320126005
Tspo2	5.392066647	5.250619613	5.236165665	5.172312489	5.121925504	4.779785005	8.148363535	5.267233644	5.21814956	5.118621361	6.107105109	5.697008315	5.302344643	5.528851017	5.097249797	5.097825668	5.223943772	5.092218716
Tsx	6.189155428	5.629094288	5.416605739	5.505789328	5.459423094	6.374096157	5.77216367	5.511932881	5.642956629	5.466561868	6.467887541	6.131721857	5.474034698	6.188859805	5.777517032	5.863071186	5.619145929	5.564669808
Ttc27	6.251353639	6.096310353	6.401378379	6.090470799	6.872934619	6.28297071	7.916923636	7.289808343	7.558865571	7.060215674	6.126041558	5.765438387	6.701356832	6.114683517	7.133199765	7.063064976	6.921147087	7.044499403
Ttc28	6.775981564	6.587720145	6.847797413	6.547668833	7.04681996	6.091567616	6.158114821	5.698866693	6.992346602	5.688008732	6.558344941	8.317689368	6.91793214	6.561463617	5.963874046	5.844505337	6.812571812	5.508258553
Ttc3	7.791494703	7.693562401	7.94289465	7.592399291	8.131474351	8.009712749	7.724449277	8.132578728	7.70351119	8.241848921	6.665234996	7.362123259	8.905099741	7.677091342	8.267349301	8.214741019	8.314714197	8.394003017
Ttc39a	6.598168656	6.382630511	5.942563097	6.289578135	5.867708704	7.558558471	6.141557452	5.833538659	5.910271354	7.124732044	6.72141641	6.54230036	6.062816089	6.835270394	5.848035311	5.876291009	6.006568822	5.900169639
Ttc39b	8.223668465	7.851098433	7.077177828	8.065489513	7.680799316	7.368745218	6.396927247	8.535731704	8.413257124	8.998427206	7.016074499	7.773653319	9.327049503	7.35534537	7.724216871	7.710133249	8.000147267	8.401819727
Ttc39c	6.853590892	6.484902225	6.764366631	6.583371278	6.942410815	6.039592455	6.540616799	7.548439964	6.496576327	7.370531942	6.37609152	5.784069434	5.306964554	6.231990093	6.698489375	7.293614187	5.8403365	6.596672314
Ttk	5.296394999	5.328927994	4.985341033	5.227661185	5.350466837	5.896635141	6.166614362	5.405718993	5.413474485	5.806101466	5.269487658	4.864374364	4.828697582	5.612648852	4.876354864	5.105884769	4.734310397	4.781642979
Ttll12	6.637243614	7.146628495	7.163386449	7.293204467	7.247060877	7.20629841	9.187377479	7.695783219	7.097030976	7.182288072	6.919068896	7.332133545	6.76828403	6.971294078	7.525321911	7.480200753	7.450434595	7.502879264
