	SC.CDP.BM	SC.CMP.BM	SC.GMP.BM	SC.LT34F.BM	SC.LTSL.BM	SC.LTSL.FL	SC.MDP.BM	SC.MEP.BM	SC.MPP34F.BM	SC.ST34F.BM	SC.STSL.BM	SC.STSL.FL
Ncapg2	9.480388062	8.944534623	7.463709637	7.845824341	8.280970692	9.163809743	9.208395082	9.696661312	8.91185124	8.773396231	7.613678734	9.36167275
Ncaph	9.162905958	8.262141603	8.34964452	7.292127726	7.492372907	8.582939431	9.162688314	9.044977364	8.311428866	8.240098911	7.054256274	8.945679682
Nceh1	8.197680804	8.05311704	7.224611434	9.835315614	8.467172812	8.394881651	7.402696883	7.379428622	8.685115646	9.314554016	9.343011634	8.225988715
Ncf2	10.03906092	8.725404434	9.999280023	8.843016323	8.417639329	8.78081062	9.535068485	7.033049064	8.844510254	8.823832936	8.835486952	8.984989442
Nck2	6.015290896	7.199228182	6.930838243	7.104297866	6.960376946	7.273966195	6.433965937	7.378628231	6.696310342	6.771816927	7.009177696	7.242042238
Nckap1	6.093699605	8.159311049	5.564485889	8.010559249	8.743939358	7.203262508	5.428846991	9.345447385	5.955821917	6.95549299	7.237956574	7.168012665
Ncoa7	7.42460498	7.772731897	6.517596432	7.757992854	7.483319749	8.183609083	7.505238067	7.535132656	7.708045112	7.719214934	7.773240329	8.241115842
Ncr1	4.406321238	4.957376041	4.530020787	4.837388252	4.225691388	4.483716908	4.121559764	4.359847933	4.348285542	4.187431258	4.155646703	3.95643308
Ncs1	6.048830501	6.948865372	6.629456197	6.478602458	6.132227916	6.195403378	6.728421681	5.855696994	6.734055857	6.700999348	6.798155955	6.558081621
ND3	10.5422942	11.39651308	10.85060883	11.29762515	9.875238623	10.01050773	10.85985937	11.87281947	10.99935124	11.19366423	10.4033495	10.69457689
Ndc80	7.528289222	7.27749292	6.279122714	6.393722221	6.807030279	7.691184476	7.672243815	7.506424619	7.296202252	7.108946227	6.27731778	7.981920563
Ndn	5.179483183	6.152795907	5.64512232	8.583221325	7.230535118	7.459392819	5.471569006	5.211458098	6.326338698	6.769212375	6.90302059	8.133114977
